osm_type;osm_id;name;amenity;city;district;street;house_number;address;phone;email;website;telegram;vk;instagram;opening_hours;cuisine;capacity;description;latitude;longitude;osm_updated_at;yandex_maps_url;osm_url
node;472810712;;pub;;;;;;;;;;;;;;;;55.9726551;37.9385493;;https://yandex.ru/maps/?text=55.9726551%2C37.9385493;https://www.openstreetmap.org/node/472810712
node;526211738;;pub;;;;;;;;;;;;;;;;56.3220468;38.1457249;;https://yandex.ru/maps/?text=56.3220468%2C38.1457249;https://www.openstreetmap.org/node/526211738
node;558855020;;pub;;;;;;+7 495 1200998;;;;;;Mo-Su 10:00-22:00;;;;55.915198;37.1573674;;https://yandex.ru/maps/?text=55.915198%2C37.1573674;https://www.openstreetmap.org/node/558855020
node;685692284;;pub;;;;;;;;;;;;;;;;55.8006246;38.9786208;;https://yandex.ru/maps/?text=55.8006246%2C38.9786208;https://www.openstreetmap.org/node/685692284
node;698836789;;bar;;;;;;;;;;;;;;;;55.5862315;36.4915318;;https://yandex.ru/maps/?text=55.5862315%2C36.4915318;https://www.openstreetmap.org/node/698836789
node;699076661;;restaurant;;;;;;;;;;;;;;;;55.5987593;36.4681679;;https://yandex.ru/maps/?text=55.5987593%2C36.4681679;https://www.openstreetmap.org/node/699076661
node;734905514;;restaurant;;;;;;;;;;;;;;;;56.3559611;37.5235829;;https://yandex.ru/maps/?text=56.3559611%2C37.5235829;https://www.openstreetmap.org/node/734905514
node;734905515;;restaurant;;;;;;;;;;;;;;;;56.3570369;37.5268338;;https://yandex.ru/maps/?text=56.3570369%2C37.5268338;https://www.openstreetmap.org/node/734905515
node;853445564;;bar;;;;;;;;;;;;;;;;55.9040694;37.699272;;https://yandex.ru/maps/?text=55.9040694%2C37.699272;https://www.openstreetmap.org/node/853445564
node;924262637;;restaurant;;;;;;;;;;;;;;;;55.8034261;38.0019404;;https://yandex.ru/maps/?text=55.8034261%2C38.0019404;https://www.openstreetmap.org/node/924262637
node;941388520;;bar;;;;;;;;;;;;;;;;55.3095664;37.5258368;;https://yandex.ru/maps/?text=55.3095664%2C37.5258368;https://www.openstreetmap.org/node/941388520
node;966770950;;restaurant;;;;;;;;;;;;;;;;55.6369554;37.2243281;;https://yandex.ru/maps/?text=55.6369554%2C37.2243281;https://www.openstreetmap.org/node/966770950
node;1003810261;;pub;;;;;;;;;;;;;;;;55.6817091;37.8964192;;https://yandex.ru/maps/?text=55.6817091%2C37.8964192;https://www.openstreetmap.org/node/1003810261
node;1045001299;;pub;;;;;;;;;;;;;;;;55.8612975;37.1284538;;https://yandex.ru/maps/?text=55.8612975%2C37.1284538;https://www.openstreetmap.org/node/1045001299
node;1110411994;;bar;;;;;;;;;;;;;;;;56.0435087;36.8725633;;https://yandex.ru/maps/?text=56.0435087%2C36.8725633;https://www.openstreetmap.org/node/1110411994
node;1133965645;;bar;;;;;;;;;;;;;;;;55.6063327;38.8596676;;https://yandex.ru/maps/?text=55.6063327%2C38.8596676;https://www.openstreetmap.org/node/1133965645
node;1177263561;;bar;;;;;;;;;;;;;;;;55.7661636;36.875606;;https://yandex.ru/maps/?text=55.7661636%2C36.875606;https://www.openstreetmap.org/node/1177263561
node;1239909131;;bar;;;;;;;;;;;;;;;;55.4215373;37.570432;;https://yandex.ru/maps/?text=55.4215373%2C37.570432;https://www.openstreetmap.org/node/1239909131
node;1239909618;;bar;;;;;;;;;;;;;;;;55.4198549;37.5740307;;https://yandex.ru/maps/?text=55.4198549%2C37.5740307;https://www.openstreetmap.org/node/1239909618
node;1290562956;;pub;;;;;;;;;;;;;;;;55.4287633;37.76735;;https://yandex.ru/maps/?text=55.4287633%2C37.76735;https://www.openstreetmap.org/node/1290562956
node;1293017962;;restaurant;;;;;;;;;;;;;;;;55.8573513;37.1221408;;https://yandex.ru/maps/?text=55.8573513%2C37.1221408;https://www.openstreetmap.org/node/1293017962
node;1421371466;;restaurant;;;;;;;;;;;;;;;;56.0916181;37.4992725;;https://yandex.ru/maps/?text=56.0916181%2C37.4992725;https://www.openstreetmap.org/node/1421371466
node;1536931550;;bar;;;;;;;;;;;;;;;;55.4037525;37.8178076;;https://yandex.ru/maps/?text=55.4037525%2C37.8178076;https://www.openstreetmap.org/node/1536931550
node;1541390023;;bar;;;;;;;;;;;;;;;;55.4185708;37.8318331;;https://yandex.ru/maps/?text=55.4185708%2C37.8318331;https://www.openstreetmap.org/node/1541390023
node;1625394239;;restaurant;;;;;;;;;;;;;;;;56.1211361;38.1439333;;https://yandex.ru/maps/?text=56.1211361%2C38.1439333;https://www.openstreetmap.org/node/1625394239
node;1648239327;;restaurant;;;;;;;;;;;;;;;;55.8438243;38.1882165;;https://yandex.ru/maps/?text=55.8438243%2C38.1882165;https://www.openstreetmap.org/node/1648239327
node;1654169876;;restaurant;;;;;;;;;;;;;;;;55.94217;37.317921;;https://yandex.ru/maps/?text=55.94217%2C37.317921;https://www.openstreetmap.org/node/1654169876
node;1766547715;;bar;;;;;;;;;;;;;;;;55.7855912;38.4485464;;https://yandex.ru/maps/?text=55.7855912%2C38.4485464;https://www.openstreetmap.org/node/1766547715
node;1831967163;;restaurant;;;;;;;;;;;;;;;;56.2678065;37.4752236;;https://yandex.ru/maps/?text=56.2678065%2C37.4752236;https://www.openstreetmap.org/node/1831967163
node;1831967175;;restaurant;;;;;;;;;;;;;;;;56.2678635;37.4742527;;https://yandex.ru/maps/?text=56.2678635%2C37.4742527;https://www.openstreetmap.org/node/1831967175
node;1833758831;;restaurant;;;;;;;;;;;;;;;;56.0417017;37.6081148;;https://yandex.ru/maps/?text=56.0417017%2C37.6081148;https://www.openstreetmap.org/node/1833758831
node;2067087806;;bar;;;;;;;;;;;;;;;;56.3216888;36.553927;;https://yandex.ru/maps/?text=56.3216888%2C36.553927;https://www.openstreetmap.org/node/2067087806
node;2076367383;;restaurant;;;;;;;;;;;;;pizza;;;55.1935288;37.8763405;;https://yandex.ru/maps/?text=55.1935288%2C37.8763405;https://www.openstreetmap.org/node/2076367383
